0,-2175796.53123114,4461043.98647811,3992348.48877129
0.005,-2175796.53123114,4461043.98647811,3992348.48877129
0.01,-2175796.53123114,4461043.98647811,3992348.48877129
0.015,-2175796.53123114,4461043.98647811,3992348.48877129
0.02,-2175796.53123114,4461043.98647811,3992348.48877129
0.025,-2175796.53123114,4461043.98647811,3992348.48877129
0.03,-2175796.53123114,4461043.98647811,3992348.48877129
0.035,-2175796.53123114,4461043.98647811,3992348.48877129
0.04,-2175796.53123114,4461043.98647811,3992348.48877129
0.045,-2175796.53123114,4461043.98647811,3992348.48877129
0.05,-2175796.53123114,4461043.98647811,3992348.48877129
0.055,-2175796.53123114,4461043.98647811,3992348.48877129
0.06,-2175796.53123114,4461043.98647811,3992348.48877129
0.065,-2175796.53123114,4461043.98647811,3992348.48877129
0.07,-2175796.53123114,4461043.98647811,3992348.48877129
0.075,-2175796.53123114,4461043.98647811,3992348.48877129
0.08,-2175796.53123114,4461043.98647811,3992348.48877129
0.085,-2175796.53123114,4461043.98647811,3992348.48877129
0.09,-2175796.53123114,4461043.98647811,3992348.48877129
0.095,-2175796.53123114,4461043.98647811,3992348.48877129
0.1,-2175796.53123114,4461043.98647811,3992348.48877129
0.105,-2175796.53123114,4461043.98647811,3992348.48877129
0.11,-2175796.53123114,4461043.98647811,3992348.48877129
0.115,-2175796.53123114,4461043.98647811,3992348.48877129
0.12,-2175796.53123114,4461043.98647811,3992348.48877129
0.125,-2175796.53123114,4461043.98647811,3992348.48877129
0.13,-2175796.53123114,4461043.98647811,3992348.48877129
0.135,-2175796.53123114,4461043.98647811,3992348.48877129
0.14,-2175796.53123114,4461043.98647811,3992348.48877129
0.145,-2175796.53123114,4461043.98647811,3992348.48877129
0.15,-2175796.53123114,4461043.98647811,3992348.48877129
0.155,-2175796.53123114,4461043.98647811,3992348.48877129
0.16,-2175796.53123114,4461043.98647811,3992348.48877129
0.165,-2175796.53123114,4461043.98647811,3992348.48877129
0.17,-2175796.53123114,4461043.98647811,3992348.48877129
0.175,-2175796.53123114,4461043.98647811,3992348.48877129
0.18,-2175796.53123114,4461043.98647811,3992348.48877129
0.185,-2175796.53123114,4461043.98647811,3992348.48877129
0.19,-2175796.53123114,4461043.98647811,3992348.48877129
0.195,-2175796.53123114,4461043.98647811,3992348.48877129
0.2,-2175796.53123114,4461043.98647811,3992348.48877129
0.205,-2175796.53123114,4461043.98647811,3992348.48877129
0.21,-2175796.53123114,4461043.98647811,3992348.48877129
0.215,-2175796.53123114,4461043.98647811,3992348.48877129
0.22,-2175796.53123114,4461043.98647811,3992348.48877129
0.225,-2175796.53123114,4461043.98647811,3992348.48877129
0.23,-2175796.53123114,4461043.98647811,3992348.48877129
0.235,-2175796.53123114,4461043.98647811,3992348.48877129
0.24,-2175796.53123114,4461043.98647811,3992348.48877129
0.245,-2175796.53123114,4461043.98647811,3992348.48877129
0.25,-2175796.53123114,4461043.98647811,3992348.48877129
0.255,-2175796.53123114,4461043.98647811,3992348.48877129
0.26,-2175796.53123114,4461043.98647811,3992348.48877129
0.265,-2175796.53123114,4461043.98647811,3992348.48877129
0.27,-2175796.53123114,4461043.98647811,3992348.48877129
0.275,-2175796.53123114,4461043.98647811,3992348.48877129
0.28,-2175796.53123114,4461043.98647811,3992348.48877129
0.285,-2175796.53123114,4461043.98647811,3992348.48877129
0.29,-2175796.53123114,4461043.98647811,3992348.48877129
0.295,-2175796.53123114,4461043.98647811,3992348.48877129
0.3,-2175796.53123114,4461043.98647811,3992348.48877129
0.305,-2175796.53123114,4461043.98647811,3992348.48877129
0.31,-2175796.53123114,4461043.98647811,3992348.48877129
0.315,-2175796.53123114,4461043.98647811,3992348.48877129
0.32,-2175796.53123114,4461043.98647811,3992348.48877129
0.325,-2175796.53123114,4461043.98647811,3992348.48877129
0.33,-2175796.53123114,4461043.98647811,3992348.48877129
0.335,-2175796.53123114,4461043.98647811,3992348.48877129
0.34,-2175796.53123114,4461043.98647811,3992348.48877129
0.345,-2175796.53123114,4461043.98647811,3992348.48877129
0.35,-2175796.53123114,4461043.98647811,3992348.48877129
0.355,-2175796.53123114,4461043.98647811,3992348.48877129
0.36,-2175796.53123114,4461043.98647811,3992348.48877129
0.365,-2175796.53123114,4461043.98647811,3992348.48877129
0.37,-2175796.53123114,4461043.98647811,3992348.48877129
0.375,-2175796.53123114,4461043.98647811,3992348.48877129
0.38,-2175796.53123114,4461043.98647811,3992348.48877129
0.385,-2175796.53123114,4461043.98647811,3992348.48877129
0.39,-2175796.53123114,4461043.98647811,3992348.48877129
0.395,-2175796.53123114,4461043.98647811,3992348.48877129
0.4,-2175796.53123114,4461043.98647811,3992348.48877129
0.405,-2175796.53123114,4461043.98647811,3992348.48877129
0.41,-2175796.53123114,4461043.98647811,3992348.48877129
0.415,-2175796.53123114,4461043.98647811,3992348.48877129
0.42,-2175796.53123114,4461043.98647811,3992348.48877129
0.425,-2175796.53123114,4461043.98647811,3992348.48877129
0.43,-2175796.53123114,4461043.98647811,3992348.48877129
0.435,-2175796.53123114,4461043.98647811,3992348.48877129
0.44,-2175796.53123114,4461043.98647811,3992348.48877129
0.445,-2175796.53123114,4461043.98647811,3992348.48877129
0.45,-2175796.53123114,4461043.98647811,3992348.48877129
0.455,-2175796.53123114,4461043.98647811,3992348.48877129
0.46,-2175796.53123114,4461043.98647811,3992348.48877129
0.465,-2175796.53123114,4461043.98647811,3992348.48877129
0.47,-2175796.53123114,4461043.98647811,3992348.48877129
0.475,-2175796.53123114,4461043.98647811,3992348.48877129
0.48,-2175796.53123114,4461043.98647811,3992348.48877129
0.485,-2175796.53123114,4461043.98647811,3992348.48877129
0.49,-2175796.53123114,4461043.98647811,3992348.48877129
0.495,-2175796.53123114,4461043.98647811,3992348.48877129
0.5,-2175796.53123114,4461043.98647811,3992348.48877129
0.505,-2175796.53123114,4461043.98647811,3992348.48877129
0.51,-2175796.53123114,4461043.98647811,3992348.48877129
0.515,-2175796.53123114,4461043.98647811,3992348.48877129
0.52,-2175796.53123114,4461043.98647811,3992348.48877129
0.525,-2175796.53123114,4461043.98647811,3992348.48877129
0.53,-2175796.53123114,4461043.98647811,3992348.48877129
0.535,-2175796.53123114,4461043.98647811,3992348.48877129
0.54,-2175796.53123114,4461043.98647811,3992348.48877129
0.545,-2175796.53123114,4461043.98647811,3992348.48877129
0.55,-2175796.53123114,4461043.98647811,3992348.48877129
0.555,-2175796.53123114,4461043.98647811,3992348.48877129
0.56,-2175796.53123114,4461043.98647811,3992348.48877129
0.565,-2175796.53123114,4461043.98647811,3992348.48877129
0.57,-2175796.53123114,4461043.98647811,3992348.48877129
0.575,-2175796.53123114,4461043.98647811,3992348.48877129
0.58,-2175796.53123114,4461043.98647811,3992348.48877129
0.585,-2175796.53123114,4461043.98647811,3992348.48877129
0.59,-2175796.53123114,4461043.98647811,3992348.48877129
0.595,-2175796.53123114,4461043.98647811,3992348.48877129
0.6,-2175796.53123114,4461043.98647811,3992348.48877129
0.605,-2175796.53123114,4461043.98647811,3992348.48877129
0.61,-2175796.53123114,4461043.98647811,3992348.48877129
0.615,-2175796.53123114,4461043.98647811,3992348.48877129
0.62,-2175796.53123114,4461043.98647811,3992348.48877129
0.625,-2175796.53123114,4461043.98647811,3992348.48877129
0.63,-2175796.53123114,4461043.98647811,3992348.48877129
0.635,-2175796.53123114,4461043.98647811,3992348.48877129
0.64,-2175796.53123114,4461043.98647811,3992348.48877129
0.645,-2175796.53123114,4461043.98647811,3992348.48877129
0.65,-2175796.53123114,4461043.98647811,3992348.48877129
0.655,-2175796.53123114,4461043.98647811,3992348.48877129
0.66,-2175796.53123114,4461043.98647811,3992348.48877129
